Team,W,L,ERA,SO,WHIP,FIP
Braves,91,71,3.57,1241,1.27,3.65
Cardinals,86,76,3.57,1094,1.3,3.85
Athletics,81,81,3.58,1070,1.28,4.13
Phillies,97,65,3.68,1183,1.25,3.93
Mets,79,83,3.73,1106,1.36,4
Rays,96,66,3.78,1189,1.26,4.09
Rangers,90,72,3.93,1181,1.31,4.17
Mariners,61,101,3.95,973,1.29,4.17
Twins,94,68,3.95,1048,1.29,3.91
Dodgers,80,82,4.01,1274,1.29,3.76
Reds,91,71,4.02,1130,1.33,4.12
Angels,80,82,4.04,1130,1.37,4.11
Yankees,95,67,4.06,1154,1.31,4.34
Astros,76,86,4.09,1210,1.39,3.89
Marlins,80,82,4.09,1168,1.38,3.92
White Sox,88,74,4.09,1149,1.36,3.8
Nationals,69,93,4.13,1068,1.38,4.12
Rockies,83,79,4.14,1234,1.34,3.83
Red Sox,89,73,4.19,1207,1.36,4.08
Blue Jays,85,77,4.23,1184,1.35,4.04
Cubs,75,87,4.24,1268,1.4,4.11
Tigers,81,81,4.29,1056,1.37,4.14
Indians,69,93,4.3,967,1.43,4.4
Brewers,77,85,4.59,1258,1.44,4.21
Orioles,66,96,4.59,1007,1.41,4.57
Diamondbacks,65,97,4.81,1070,1.43,4.76
Royals,67,95,4.97,1035,1.46,4.48
Pirates,57,105,5,1026,1.49,4.45
Phillies,102,60,3.02,1299,1.17,3.24
Giants,86,76,3.21,1316,1.24,3.33
Padres,71,91,3.43,1139,1.27,3.73
Braves,89,73,3.49,1332,1.25,3.49
Dodgers,82,79,3.56,1265,1.25,3.61
Angels,86,76,3.57,1058,1.27,3.89
Nationals,80,81,3.58,1049,1.3,3.83
Rays,91,71,3.58,1143,1.22,4.03
Brewers,96,66,3.64,1257,1.24,3.59
Athletics,74,88,3.71,1160,1.31,3.8
Yankees,97,65,3.73,1222,1.32,3.87
Cardinals,90,72,3.79,1098,1.31,3.75
Rangers,96,66,3.79,1179,1.24,3.98
Diamondbacks,94,68,3.8,1058,1.29,4.02
Mariners,67,95,3.91,1088,1.26,3.84
Marlins,72,90,3.95,1218,1.3,3.79
Tigers,95,67,4.04,1115,1.32,3.96
Pirates,72,90,4.05,1031,1.41,4.2
White Sox,79,83,4.1,1220,1.3,3.66
Reds,79,83,4.16,1112,1.33,4.37
Mets,77,85,4.19,1126,1.38,4
Red Sox,90,72,4.2,1213,1.31,4.05
Indians,80,82,4.24,1024,1.34,4.06
Blue Jays,81,81,4.33,1169,1.35,4.29
Cubs,71,91,4.34,1224,1.41,4.11
Rockies,73,89,4.44,1118,1.38,4.24
Royals,71,91,4.45,1080,1.41,4.27
Astros,56,106,4.51,1191,1.42,4.35
Twins,63,99,4.6,940,1.44,4.3
Orioles,69,93,4.92,1044,1.45,4.67
Rays,90,72,3.19,1383,1.17,3.51
Nationals,98,64,3.34,1325,1.22,3.54
Reds,97,65,3.34,1248,1.23,3.72
Dodgers,86,76,3.35,1276,1.25,3.64
Braves,94,68,3.42,1232,1.23,3.74
Athletics,94,68,3.5,1136,1.24,3.89
Giants,94,68,3.68,1237,1.27,3.78
Cardinals,88,74,3.71,1218,1.27,3.62
Mariners,75,87,3.76,1166,1.24,4
Tigers,88,74,3.77,1318,1.29,3.63
Yankees,95,67,3.85,1318,1.27,3.98
Phillies,81,81,3.86,1385,1.24,3.72
Orioles,93,69,3.9,1177,1.29,4.2
Pirates,79,83,3.91,1192,1.29,3.94
Diamondbacks,81,81,3.94,1200,1.29,3.81
Padres,76,86,4.01,1205,1.32,4.11
Angels,89,73,4.02,1157,1.27,4.26
Rangers,93,69,4.02,1286,1.26,3.9
White Sox,85,77,4.02,1246,1.29,4.23
Mets,74,88,4.09,1240,1.29,3.93
Marlins,69,93,4.1,1113,1.35,3.89
Brewers,83,79,4.22,1402,1.36,3.82
Royals,72,90,4.3,1177,1.41,4.18
Cubs,61,101,4.51,1128,1.39,4.46
Astros,55,107,4.57,1170,1.43,4.27
Blue Jays,73,89,4.64,1142,1.39,4.66
Red Sox,69,93,4.72,1176,1.37,4.41
Twins,66,96,4.77,943,1.39,4.66
Indians,68,94,4.79,1086,1.42,4.4
Rockies,64,98,5.22,1144,1.55,4.59
Braves,96,66,3.18,1232,1.2,3.44
Dodgers,92,70,3.25,1292,1.23,3.45
Pirates,94,68,3.27,1261,1.23,3.42
Reds,90,72,3.38,1296,1.17,3.81
Cardinals,97,65,3.43,1254,1.24,3.39
Royals,86,76,3.45,1208,1.27,3.83
Athletics,96,66,3.56,1183,1.22,3.83
Nationals,86,76,3.59,1236,1.23,3.55
Tigers,93,69,3.61,1428,1.25,3.27
Rangers,91,72,3.63,1309,1.28,3.77
Marlins,62,100,3.71,1177,1.3,3.69
Rays,92,71,3.74,1310,1.23,3.71
Mets,74,88,3.78,1209,1.29,3.79
